hand,F_strat,F_ev,R2.1_strat,R2.1_ev,RAI_strat,RAI_ev,best_action,best_ev_action
K5s,94.99,0.0,5.01,-7e-05,0.0,-0.45712,F,F
K6o,100.0,0.0,0.0,-0.02057,0.0,-0.55729,F,F
K6s,96.06,0.0,3.94,-0.00013,0.0,-0.45462,F,F
K7o,100.0,0.0,0.0,-0.01975,0.0,-0.55783,F,F
K7s,34.53,0.0,65.47,3e-05,0.0,-0.45391,R2.1,R2.1
K8o,100.0,0.0,0.0,-0.01807,0.0,-0.5621,F,F
K8s,0.03,0.0,99.97,0.0011,0.0,-0.45852,R2.1,R2.1
K9o,100.0,0.0,0.0,-0.01417,0.0,-0.53867,F,F
K9s,0.0,0.0,100.0,0.00511,0.0,-0.4361,R2.1,R2.1
KJo,61.92,0.0,38.08,-1e-05,0.0,-0.47828,F,F
KJs,0.0,0.0,100.0,0.02009,0.0,-0.38301,R2.1,R2.1
KK,0.0,0.0,100.0,0.296,0.0,0.24144,R2.1,R2.1
KQo,0.0,0.0,100.0,0.0035,0.0,-0.41051,R2.1,R2.1
KQs,0.0,0.0,100.0,0.02787,0.0,-0.32149,R2.1,R2.1
KTo,100.0,0.0,0.0,-0.00085,0.0,-0.50909,F,F
KTs,0.0,0.0,100.0,0.01815,0.0,-0.40884,R2.1,R2.1
Q2o,100.0,0.0,0.0,-0.0325,0.0,-0.67781,F,F
Q2s,100.0,0.0,0.0,-0.01506,0.0,-0.56854,F,F
Q3o,100.0,0.0,0.0,-0.03014,0.0,-0.66591,F,F
Q3s,100.0,0.0,0.0,-0.01276,0.0,-0.55805,F,F
Q4o,100.0,0.0,0.0,-0.02781,0.0,-0.65441,F,F
Q4s,100.0,0.0,0.0,-0.01028,0.0,-0.54788,F,F
Q5o,100.0,0.0,0.0,-0.02507,0.0,-0.64292,F,F
Q5s,100.0,0.0,0.0,-0.00771,0.0,-0.53716,F,F
Q6o,100.0,0.0,0.0,-0.02519,0.0,-0.63963,F,F
Q6s,100.0,0.0,0.0,-0.00795,0.0,-0.53327,F,F
Q7o,100.0,0.0,0.0,-0.0247,0.0,-0.6463,F,F
Q7s,100.0,0.0,0.0,-0.0077,0.0,-0.54003,F,F
Q8o,100.0,0.0,0.0,-0.02148,0.0,-0.61502,F,F
Q8s,100.0,0.0,0.0,-0.00439,0.0,-0.51085,F,F
Q9o,100.0,0.0,0.0,-0.01695,0.0,-0.58981,F,F
Q9s,1.96,0.0,98.04,0.00011,0.0,-0.48806,R2.1,R2.1
QJo,100.0,0.0,0.0,-0.00049,0.0,-0.5313,F,F
QJs,0.0,0.0,100.0,0.01616,0.0,-0.43523,R2.1,R2.1
QQ,0.0,0.0,100.0,0.15534,0.0,-0.11681,R2.1,R2.1
QTo,100.0,0.0,0.0,-0.00252,0.0,-0.56279,F,F
QTs,0.0,0.0,100.0,0.01427,0.0,-0.4624,R2.1,R2.1
T2o,100.0,0.0,0.0,-0.03527,0.0,-0.80164,F,F
T2s,100.0,0.0,0.0,-0.02138,0.0,-0.68429,F,F
T3o,100.0,0.0,0.0,-0.03292,0.0,-0.78871,F,F
